root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:45:15.910486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2970755848:2970755956, ack 2227369006, win 501, length 108
15:45:16.190595 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 213604:213760, ack 109, win 501, length 156
15:45:16.190713 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 213760:213916, ack 109, win 501, length 156
15:45:16.190831 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 213916:214072, ack 109, win 501, length 156
15:45:16.190966 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 214072:214228, ack 109, win 501, length 156
15:45:16.191152 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 214228:214384, ack 109, win 501, length 156
15:45:16.191354 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 214384:214540, ack 109, win 501, length 156
15:45:16.191548 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 214540:214696, ack 109, win 501, length 156
15:45:16.191762 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 214696:214852, ack 109, win 501, length 156
15:45:16.191944 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 214852:215008, ack 109, win 501, length 156
15:45:16.192143 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 215008:215164, ack 109, win 501, length 156
15:45:16.192338 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 215164:215320, ack 109, win 501, length 156
15:45:16.192555 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 215320:215476, ack 109, win 501, length 156
15:45:16.192624 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 202476, win 18771, length 0
15:45:16.192659 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 206428, win 18774, length 0
15:45:16.192996 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 215476:215840, ack 109, win 501, length 364
15:45:16.193059 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 206896, win 18772, length 0
15:45:16.193316 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 215840:216100, ack 109, win 501, length 260
15:45:16.193521 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 216100:216256, ack 109, win 501, length 156
15:45:16.193725 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 216256:216412, ack 109, win 501, length 156
15:45:16.193941 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 216412:216568, ack 109, win 501, length 156
15:45:16.194111 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 216568:216724, ack 109, win 501, length 156
15:45:16.194268 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 216724:216880, ack 109, win 501, length 156
15:45:16.194419 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 216880:217036, ack 109, win 501, length 156
15:45:16.194568 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 217036:217192, ack 109, win 501, length 156
15:45:16.194940 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 217192:217348, ack 109, win 501, length 156
15:45:16.195192 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 217348:217504, ack 109, win 501, length 156
15:45:16.195357 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 217504:217660, ack 109, win 501, length 156
15:45:16.195589 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 217660:217816, ack 109, win 501, length 156
15:45:16.195822 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 217816:217972, ack 109, win 501, length 156
15:45:16.195985 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 217972:218128, ack 109, win 501, length 156
15:45:16.196127 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 218128:218284, ack 109, win 501, length 156
15:45:16.196257 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 218284:218440, ack 109, win 501, length 156
15:45:16.196420 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 218440:218596, ack 109, win 501, length 156
15:45:16.196584 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 218596:218752, ack 109, win 501, length 156
15:45:16.196671 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 210172, win 18774, length 0
15:45:16.196858 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 218752:219012, ack 109, win 501, length 260
15:45:16.197016 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 219012:219168, ack 109, win 501, length 156
15:45:16.197168 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 219168:219324, ack 109, win 501, length 156
15:45:16.197314 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 219324:219480, ack 109, win 501, length 156
15:45:16.197499 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 219480:219636, ack 109, win 501, length 156
15:45:16.197663 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 219636:219792, ack 109, win 501, length 156
15:45:16.197790 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 219792:219948, ack 109, win 501, length 156
15:45:16.197936 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 219948:220104, ack 109, win 501, length 156
15:45:16.198127 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 220104:220260, ack 109, win 501, length 156
15:45:16.198279 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 220260:220416, ack 109, win 501, length 156
15:45:16.198416 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 220416:220572, ack 109, win 501, length 156
15:45:16.198542 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 220572:220728, ack 109, win 501, length 156
15:45:16.198663 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 220728:220884, ack 109, win 501, length 156
15:45:16.198861 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 220884:221040, ack 109, win 501, length 156
15:45:16.199109 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 221040:221196, ack 109, win 501, length 156
15:45:16.199357 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 221196:221352, ack 109, win 501, length 156
15:45:16.199589 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 221352:221508, ack 109, win 501, length 156
15:45:16.199835 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 221508:221664, ack 109, win 501, length 156
15:45:16.200041 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 221664:221820, ack 109, win 501, length 156
15:45:16.200279 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 221820:221976, ack 109, win 501, length 156
15:45:16.200489 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 221976:222132, ack 109, win 501, length 156
15:45:16.200707 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 222132:222288, ack 109, win 501, length 156
15:45:16.200929 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 222288:222444, ack 109, win 501, length 156
15:45:16.201143 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 222444:222600, ack 109, win 501, length 156
15:45:16.201346 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 222600:222756, ack 109, win 501, length 156
15:45:16.201554 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 222756:222912, ack 109, win 501, length 156
15:45:16.201765 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 222912:223068, ack 109, win 501, length 156
15:45:16.201983 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 223068:223224, ack 109, win 501, length 156
15:45:16.202222 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 223224:223380, ack 109, win 501, length 156
15:45:16.202452 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 223380:223536, ack 109, win 501, length 156
15:45:16.202660 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 223536:223692, ack 109, win 501, length 156
15:45:16.202967 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 223692:223848, ack 109, win 501, length 156
15:45:16.203161 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 223848:224004, ack 109, win 501, length 156
15:45:16.203304 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 224004:224160, ack 109, win 501, length 156
15:45:16.203428 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 224160:224316, ack 109, win 501, length 156
15:45:16.203653 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 217192, win 18773, length 0
15:45:16.203717 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 217660, win 18771, length 0
15:45:16.203880 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 224316:224472, ack 109, win 501, length 156
15:45:16.203977 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 224472:224716, ack 109, win 501, length 244
15:45:16.204180 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 224716:224992, ack 109, win 501, length 276
15:45:16.204373 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 224992:225148, ack 109, win 501, length 156
15:45:16.204525 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 225148:225304, ack 109, win 501, length 156
15:45:16.204707 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 225304:225460, ack 109, win 501, length 156
15:45:16.204905 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 225460:225616, ack 109, win 501, length 156
15:45:16.205072 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 225616:225772, ack 109, win 501, length 156
15:45:16.205231 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 225772:225928, ack 109, win 501, length 156
15:45:16.205380 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 225928:226084, ack 109, win 501, length 156
15:45:16.205529 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 226084:226240, ack 109, win 501, length 156
15:45:16.205674 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 226240:226396, ack 109, win 501, length 156
15:45:16.205821 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 226396:226552, ack 109, win 501, length 156
15:45:16.205997 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 226552:226708, ack 109, win 501, length 156
15:45:16.206170 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 226708:226864, ack 109, win 501, length 156
15:45:16.206332 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 226864:227020, ack 109, win 501, length 156
15:45:16.206484 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 227020:227176, ack 109, win 501, length 156
15:45:16.206655 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 227176:227332, ack 109, win 501, length 156
15:45:16.206819 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 227332:227488, ack 109, win 501, length 156
15:45:16.206974 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 227488:227644, ack 109, win 501, length 156
15:45:16.207137 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 227644:227800, ack 109, win 501, length 156
15:45:16.207186 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 221040, win 18771, length 0
15:45:16.207368 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 227800:228060, ack 109, win 501, length 260
15:45:16.207535 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 228060:228216, ack 109, win 501, length 156
15:45:16.207727 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 228216:228372, ack 109, win 501, length 156
15:45:16.207880 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 228372:228528, ack 109, win 501, length 156
15:45:16.208036 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 228528:228684, ack 109, win 501, length 156
15:45:16.208234 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 228684:228840, ack 109, win 501, length 156
15:45:16.208430 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 228840:228996, ack 109, win 501, length 156
15:45:16.208571 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 228996:229152, ack 109, win 501, length 156
15:45:16.208722 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 229152:229308, ack 109, win 501, length 156
15:45:16.208866 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 229308:229464, ack 109, win 501, length 156
15:45:16.209044 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 229464:229620, ack 109, win 501, length 156
15:45:16.209191 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 229620:229776, ack 109, win 501, length 156
15:45:16.209373 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 229776:229932, ack 109, win 501, length 156
15:45:16.209533 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 229932:230088, ack 109, win 501, length 156
15:45:16.209708 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 230088:230244, ack 109, win 501, length 156
15:45:16.209867 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 230244:230400, ack 109, win 501, length 156
15:45:16.210018 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 230400:230556, ack 109, win 501, length 156
15:45:16.210165 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 230556:230712, ack 109, win 501, length 156
15:45:16.210334 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 230712:230868, ack 109, win 501, length 156
15:45:16.210508 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 230868:231024, ack 109, win 501, length 156
15:45:16.210644 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 231024:231180, ack 109, win 501, length 156
15:45:16.210784 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 231180:231336, ack 109, win 501, length 156
15:45:16.210908 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 231336:231492, ack 109, win 501, length 156
15:45:16.211058 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 231492:231648, ack 109, win 501, length 156
15:45:16.211262 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 231648:231804, ack 109, win 501, length 156
15:45:16.211411 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 231804:231960, ack 109, win 501, length 156
15:45:16.211536 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 231960:232116, ack 109, win 501, length 156
15:45:16.211686 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 232116:232272, ack 109, win 501, length 156
15:45:16.211829 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 232272:232428, ack 109, win 501, length 156
15:45:16.211988 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 232428:232584, ack 109, win 501, length 156
15:45:16.212118 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 232584:232740, ack 109, win 501, length 156
15:45:16.212264 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 232740:232896, ack 109, win 501, length 156
15:45:16.212413 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 232896:233052, ack 109, win 501, length 156
15:45:16.212561 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 233052:233208, ack 109, win 501, length 156
15:45:16.212692 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 233208:233364, ack 109, win 501, length 156
15:45:16.212853 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 233364:233520, ack 109, win 501, length 156
15:45:16.212999 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 233520:233676, ack 109, win 501, length 156
15:45:16.213142 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 233676:233832, ack 109, win 501, length 156
15:45:16.213270 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 233832:233988, ack 109, win 501, length 156
15:45:16.213395 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 233988:234144, ack 109, win 501, length 156
15:45:16.213524 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 234144:234300, ack 109, win 501, length 156
15:45:16.213648 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 234300:234456, ack 109, win 501, length 156
15:45:16.213769 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 234456:234612, ack 109, win 501, length 156
15:45:16.213894 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 234612:234768, ack 109, win 501, length 156
15:45:16.214015 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 234768:234924, ack 109, win 501, length 156
15:45:16.214194 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 234924:235080, ack 109, win 501, length 156
15:45:16.214406 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 235080:235236, ack 109, win 501, length 156
15:45:16.214555 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 235236:235392, ack 109, win 501, length 156
15:45:16.214683 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 235392:235548, ack 109, win 501, length 156
15:45:16.214817 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 235548:235704, ack 109, win 501, length 156
15:45:16.214941 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 235704:235860, ack 109, win 501, length 156
15:45:16.215126 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 235860:236016, ack 109, win 501, length 156
15:45:16.215337 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 236016:236172, ack 109, win 501, length 156
15:45:16.215504 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 236172:236328, ack 109, win 501, length 156
15:45:16.215677 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 236328:236484, ack 109, win 501, length 156
15:45:16.215827 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 236484:236640, ack 109, win 501, length 156
15:45:16.215982 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 236640:236796, ack 109, win 501, length 156
15:45:16.216132 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 236796:236952, ack 109, win 501, length 156
15:45:16.216298 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 236952:237108, ack 109, win 501, length 156
15:45:16.216353 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 228216, win 18770, length 0
15:45:16.216569 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 237108:237368, ack 109, win 501, length 260
15:45:16.216725 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 237368:237524, ack 109, win 501, length 156
15:45:16.216874 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 237524:237680, ack 109, win 501, length 156
15:45:16.217000 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 237680:237836, ack 109, win 501, length 156
15:45:16.217130 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 237836:237992, ack 109, win 501, length 156
15:45:16.217284 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 237992:238148, ack 109, win 501, length 156
15:45:16.217429 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 238148:238304, ack 109, win 501, length 156
15:45:16.217564 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 238304:238460, ack 109, win 501, length 156
15:45:16.217712 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 238460:238616, ack 109, win 501, length 156
15:45:16.217858 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 238616:238772, ack 109, win 501, length 156
15:45:16.218002 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 238772:238928, ack 109, win 501, length 156
15:45:16.218165 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 238928:239084, ack 109, win 501, length 156
15:45:16.218293 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 239084:239240, ack 109, win 501, length 156
15:45:16.218437 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 239240:239396, ack 109, win 501, length 156
15:45:16.218584 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 239396:239552, ack 109, win 501, length 156
15:45:16.218738 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 239552:239708, ack 109, win 501, length 156
15:45:16.218884 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 239708:239864, ack 109, win 501, length 156
15:45:16.219039 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 239864:240020, ack 109, win 501, length 156
15:45:16.219181 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 240020:240176, ack 109, win 501, length 156
15:45:16.219336 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 240176:240332, ack 109, win 501, length 156
15:45:16.219489 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 240332:240488, ack 109, win 501, length 156
15:45:16.219656 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 240488:240644, ack 109, win 501, length 156
15:45:16.219802 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 240644:240800, ack 109, win 501, length 156
15:45:16.219949 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 240800:240956, ack 109, win 501, length 156
15:45:16.220151 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 240956:241112, ack 109, win 501, length 156
15:45:16.220321 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 241112:241268, ack 109, win 501, length 156
15:45:16.220454 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 241268:241424, ack 109, win 501, length 156
15:45:16.220588 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 241424:241580, ack 109, win 501, length 156
15:45:16.220715 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 241580:241736, ack 109, win 501, length 156
15:45:16.220911 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 241736:241892, ack 109, win 501, length 156
15:45:16.221085 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 241892:242048, ack 109, win 501, length 156
15:45:16.221255 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 242048:242204, ack 109, win 501, length 156
15:45:16.221433 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 242204:242360, ack 109, win 501, length 156
15:45:16.221588 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 242360:242516, ack 109, win 501, length 156
15:45:16.221729 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 242516:242672, ack 109, win 501, length 156
15:45:16.221857 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 242672:242828, ack 109, win 501, length 156
15:45:16.222009 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 242828:242984, ack 109, win 501, length 156
15:45:16.222247 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 242984:243140, ack 109, win 501, length 156
15:45:16.222469 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 243140:243296, ack 109, win 501, length 156
15:45:16.222688 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 243296:243452, ack 109, win 501, length 156
15:45:16.222913 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 243452:243608, ack 109, win 501, length 156
15:45:16.223132 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 243608:243764, ack 109, win 501, length 156
15:45:16.223354 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 243764:243920, ack 109, win 501, length 156
15:45:16.223429 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [P.], seq 109:145, ack 228216, win 18770, length 36
15:45:16.223461 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 230556, win 18774, length 0
15:45:16.223841 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 243920:244300, ack 145, win 501, length 380
15:45:16.224066 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 244300:244456, ack 145, win 501, length 156
15:45:16.224306 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 244456:244612, ack 145, win 501, length 156
15:45:16.224489 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 244612:244768, ack 145, win 501, length 156
15:45:16.224678 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 244768:244924, ack 145, win 501, length 156
15:45:16.224857 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 244924:245080, ack 145, win 501, length 156
15:45:16.224997 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 245080:245236, ack 145, win 501, length 156
15:45:16.225147 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 245236:245392, ack 145, win 501, length 156
15:45:16.225294 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 245392:245548, ack 145, win 501, length 156
15:45:16.225444 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 245548:245704, ack 145, win 501, length 156
15:45:16.225600 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 245704:245860, ack 145, win 501, length 156
15:45:16.225735 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 245860:246016, ack 145, win 501, length 156
15:45:16.225890 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 246016:246172, ack 145, win 501, length 156
15:45:16.226036 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 246172:246328, ack 145, win 501, length 156
15:45:16.226213 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 246328:246484, ack 145, win 501, length 156
15:45:16.226363 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 246484:246640, ack 145, win 501, length 156
15:45:16.226551 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 246640:246796, ack 145, win 501, length 156
15:45:16.226578 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 240020, win 18772, length 0
